sample	group
E_1_1	PE
E_1_2	PE
E_1_3	PE
E_1_4	PE
E_1_5	PE
E_1_6	PE
E_1_7	PE
E_1_8	PE
E_1_9	PE
E_1_10	PE
E_1_11	PE
E_1_12	PE
E_2_1	PE
E_2_2	PE
E_2_3	PE
E_2_4	PE
E_2_5	PE
E_2_6	PE
E_2_7	PE
E_2_8	PE
E_2_9	PE
E_2_10	PE
E_2_11	PE
E_2_12	PE
E_3_1	PE
E_3_2	PE
E_3_3	PE
E_3_4	PE
E_3_5	PE
E_3_6	PE
E_3_7	PE
E_3_8	PE
E_3_9	PE
E_3_10	PE
E_3_11	PE
E_3_12	PE
E_4_1	PE
E_4_2	PE
E_4_3	PE
E_4_4	PE
E_4_5	PE
E_4_6	PE
E_4_7	PE
E_4_8	PE
E_4_9	PE
E_4_10	PE
E_4_11	PE
E_4_12	PE
E_5_1	PE
E_5_2	PE
E_5_4	PE
E_5_5	PE
E_5_6	PE
E_5_7	PE
E_5_8	PE
E_5_9	PE
E_5_10	PE
E_5_11	PE
E_5_12	PE
A_1_1	PBAT
A_1_2	PBAT
A_1_3	PBAT
A_1_4	PBAT
A_1_5	PBAT
A_1_6	PBAT
A_1_7	PBAT
A_1_8	PBAT
A_1_9	PBAT
A_1_10	PBAT
A_1_11	PBAT
A_1_12	PBAT
A_2_1	PBAT
A_2_2	PBAT
A_2_3	PBAT
A_2_4	PBAT
A_2_5	PBAT
A_2_6	PBAT
A_2_7	PBAT
A_2_8	PBAT
A_2_9	PBAT
A_2_10	PBAT
A_2_11	PBAT
A_2_12	PBAT
A_3_1	PBAT
A_3_2	PBAT
A_3_3	PBAT
A_3_4	PBAT
A_3_5	PBAT
A_3_6	PBAT
A_3_7	PBAT
A_3_9	PBAT
A_3_10	PBAT
A_3_11	PBAT
A_3_12	PBAT
A_4_1	PBAT
A_4_2	PBAT
A_4_3	PBAT
A_4_4	PBAT
A_4_5	PBAT
A_4_6	PBAT
A_4_7	PBAT
A_4_8	PBAT
A_4_9	PBAT
A_4_10	PBAT
A_4_11	PBAT
A_4_12	PBAT
A_5_1	PBAT
A_5_2	PBAT
A_5_3	PBAT
A_5_4	PBAT
A_5_5	PBAT
A_5_6	PBAT
A_5_7	PBAT
A_5_9	PBAT
A_5_10	PBAT
A_5_11	PBAT
A_5_12	PBAT
