MethodID	sample1	sample2	Heterogeneous.Selection	Homogeneous.Selection	Dispersal.Limitation	Homogenizing.Dispersal	Drift.and.Others
CbMPDiCBraya	A_1_2	A_1_1	0.002112606	0.326332402	0.072036579	0.044385053	0.55513336
CbMPDiCBraya	A_1_3	A_1_1	0.000103532	0.254615208	0.156778228	0.048096611	0.540406421
CbMPDiCBraya	A_1_4	A_1_1	0.000787134	0.306818679	0.076870861	0.040765502	0.574757824
CbMPDiCBraya	A_1_5	A_1_1	0.000414202	0.262109362	0.183545426	0.029217873	0.524713138
CbMPDiCBraya	A_1_6	A_1_1	0.001181249	0.31386736	0.077088979	0.112780486	0.495081926
CbMPDiCBraya	A_1_7	A_1_1	0.001410151	0.315814601	0.120209877	0.051579427	0.510985943
CbMPDiCBraya	A_1_8	A_1_1	0.0014703	0.304926919	0.296950791	0.080325026	0.316326964
CbMPDiCBraya	A_1_9	A_1_1	0.001118414	0.318449467	0.318557481	0.081576243	0.280298395
CbMPDiCBraya	A_1_10	A_1_1	0.001511899	0.402931568	0.252962586	0.042394414	0.300199533
CbMPDiCBraya	A_1_11	A_1_1	0.001408027	0.308042737	0.290391566	0.086701107	0.313456563
CbMPDiCBraya	A_1_12	A_1_1	0.001491089	0.398000959	0.146160437	0.023191624	0.431155891
CbMPDiCBraya	A_2_1	A_1_1	0.000683457	0.217071543	0.147157491	0.054213022	0.580874487
CbMPDiCBraya	A_2_2	A_1_1	0.000828511	0.297831637	0.152673985	0.046044748	0.502621119
CbMPDiCBraya	A_2_3	A_1_1	0.000600539	0.227380293	0.168626061	0.037350754	0.566042353
CbMPDiCBraya	A_2_4	A_1_1	0.000165745	0.313644827	0.06567118	0.102886685	0.517631564
CbMPDiCBraya	A_2_5	A_1_1	0.000248543	0.223096868	0.177310914	0.040925186	0.558418489
CbMPDiCBraya	A_2_6	A_1_1	0	0.27798851	0.156662302	0.039289576	0.526059613
CbMPDiCBraya	A_2_7	A_1_1	0	0.233252017	0.224386343	0.102240899	0.440120741
CbMPDiCBraya	A_2_8	A_1_1	0.000393749	0.457776383	0.196542165	0.080551681	0.264736022
CbMPDiCBraya	A_2_9	A_1_1	0.000227838	0.305008413	0.247958723	0.054645488	0.392159538
CbMPDiCBraya	A_2_10	A_1_1	0.000538478	0.251942241	0.296808289	0.03315405	0.417556942
CbMPDiCBraya	A_2_11	A_1_1	0.001905288	0.17871774	0.356754653	0.031560949	0.43106137
CbMPDiCBraya	A_2_12	A_1_1	0.000248573	0.257062963	0.153473141	0.043585881	0.545629441
CbMPDiCBraya	A_3_1	A_1_1	0.030255188	0.22547127	0.330554163	0.003892278	0.4098271
CbMPDiCBraya	A_3_2	A_1_1	0.001014474	0.263339954	0.161142545	0.015777212	0.558725815
CbMPDiCBraya	A_3_3	A_1_1	0.01000325	0.22115839	0.275373395	0.024954472	0.468510493
CbMPDiCBraya	A_3_4	A_1_1	0.028725565	0.247412506	0.352765205	0.011243504	0.35985322
CbMPDiCBraya	A_3_5	A_1_1	0.0011805	0.251207903	0.224431489	0.018950588	0.50422952
CbMPDiCBraya	A_3_6	A_1_1	0.010975431	0.254712819	0.260953381	0.017496862	0.455861508
CbMPDiCBraya	A_3_7	A_1_1	0.000869774	0.23015602	0.364300394	0.108486691	0.296187121
CbMPDiCBraya	A_3_9	A_1_1	0.000497049	0.189370781	0.367571169	0.141700955	0.300860046
CbMPDiCBraya	A_3_10	A_1_1	0.000621387	0.169077168	0.44894485	0.144653586	0.236703009
CbMPDiCBraya	A_3_11	A_1_1	0.000724788	0.189025087	0.379725015	0.045603094	0.384922017
CbMPDiCBraya	A_3_12	A_1_1	0.018969872	0.249007893	0.278292517	0.014183989	0.439545728
CbMPDiCBraya	A_4_1	A_1_1	0.03694542	0.132641974	0.590832422	0.012403445	0.227176739
CbMPDiCBraya	A_4_2	A_1_1	0.03331876	0.297385693	0.383706858	0.004886726	0.280701963
CbMPDiCBraya	A_4_3	A_1_1	0.040094754	0.240358061	0.5226364	0.004990789	0.191919997
