sample	month	material
A_1_1	1	BDMs
A_1_2	1	BDMs
A_1_3	1	BDMs
A_1_4	1	BDMs
A_1_5	1	BDMs
A_1_6	1	BDMs
A_1_7	1	BDMs
A_1_8	1	BDMs
A_1_9	1	BDMs
A_1_10	1	BDMs
A_1_11	1	BDMs
A_1_12	1	BDMs
B_1_1	1	BDMs
B_1_2	1	BDMs
B_1_3	1	BDMs
B_1_4	1	BDMs
B_1_5	1	BDMs
B_1_6	1	BDMs
B_1_7	1	BDMs
B_1_8	1	BDMs
B_1_9	1	BDMs
B_1_10	1	BDMs
B_1_11	1	BDMs
B_1_12	1	BDMs
C_1_1	1	BDMs
C_1_2	1	BDMs
C_1_3	1	BDMs
C_1_4	1	BDMs
C_1_5	1	BDMs
C_1_6	1	BDMs
C_1_7	1	BDMs
C_1_8	1	BDMs
C_1_9	1	BDMs
C_1_10	1	BDMs
C_1_11	1	BDMs
C_1_12	1	BDMs
D_1_1	1	BDMs
D_1_2	1	BDMs
D_1_3	1	BDMs
D_1_4	1	BDMs
D_1_5	1	BDMs
D_1_6	1	BDMs
D_1_7	1	BDMs
D_1_8	1	BDMs
D_1_9	1	BDMs
D_1_10	1	BDMs
D_1_11	1	BDMs
D_1_12	1	BDMs
E_1_1	1	PE
E_1_2	1	PE
E_1_3	1	PE
E_1_4	1	PE
E_1_5	1	PE
E_1_6	1	PE
E_1_7	1	PE
E_1_8	1	PE
E_1_9	1	PE
E_1_10	1	PE
E_1_11	1	PE
E_1_12	1	PE
A_2_1	2	BDMs
A_2_2	2	BDMs
A_2_3	2	BDMs
A_2_4	2	BDMs
A_2_5	2	BDMs
A_2_6	2	BDMs
A_2_7	2	BDMs
A_2_8	2	BDMs
A_2_9	2	BDMs
A_2_10	2	BDMs
A_2_11	2	BDMs
A_2_12	2	BDMs
B_2_1	2	BDMs
B_2_2	2	BDMs
B_2_3	2	BDMs
B_2_4	2	BDMs
B_2_5	2	BDMs
B_2_6	2	BDMs
B_2_7	2	BDMs
B_2_8	2	BDMs
B_2_9	2	BDMs
B_2_10	2	BDMs
B_2_11	2	BDMs
B_2_12	2	BDMs
C_2_1	2	BDMs
C_2_2	2	BDMs
C_2_3	2	BDMs
C_2_4	2	BDMs
C_2_5	2	BDMs
C_2_6	2	BDMs
C_2_7	2	BDMs
C_2_8	2	BDMs
C_2_9	2	BDMs
C_2_10	2	BDMs
C_2_11	2	BDMs
C_2_12	2	BDMs
D_2_1	2	BDMs
D_2_2	2	BDMs
D_2_3	2	BDMs
D_2_4	2	BDMs
D_2_5	2	BDMs
D_2_6	2	BDMs
D_2_7	2	BDMs
D_2_8	2	BDMs
D_2_9	2	BDMs
D_2_10	2	BDMs
D_2_11	2	BDMs
E_2_1	2	PE
E_2_2	2	PE
E_2_3	2	PE
E_2_4	2	PE
E_2_5	2	PE
E_2_6	2	PE
E_2_7	2	PE
E_2_8	2	PE
E_2_9	2	PE
E_2_10	2	PE
E_2_11	2	PE
E_2_12	2	PE
A_3_1	3	BDMs
A_3_2	3	BDMs
A_3_3	3	BDMs
A_3_4	3	BDMs
A_3_5	3	BDMs
A_3_6	3	BDMs
A_3_7	3	BDMs
A_3_9	3	BDMs
A_3_10	3	BDMs
A_3_11	3	BDMs
A_3_12	3	BDMs
B_3_1	3	BDMs
B_3_2	3	BDMs
B_3_3	3	BDMs
B_3_4	3	BDMs
B_3_5	3	BDMs
B_3_6	3	BDMs
B_3_7	3	BDMs
B_3_8	3	BDMs
B_3_9	3	BDMs
B_3_10	3	BDMs
B_3_11	3	BDMs
B_3_12	3	BDMs
C_3_1	3	BDMs
C_3_2	3	BDMs
C_3_3	3	BDMs
C_3_4	3	BDMs
C_3_5	3	BDMs
C_3_6	3	BDMs
C_3_7	3	BDMs
C_3_8	3	BDMs
C_3_9	3	BDMs
C_3_10	3	BDMs
C_3_11	3	BDMs
C_3_12	3	BDMs
D_3_1	3	BDMs
D_3_2	3	BDMs
D_3_3	3	BDMs
